frame,x,y,visible
28,852,400,1
29,858,371,1
30,865,343,1
31,871,333,1
32,877,324,1
33,882,317,1
34,887,311,1
35,892,304,1
36,898,298,1
37,904,298,1
38,910,298,1
39,916,298,1
40,918,301,1
41,921,304,1
42,923,307,1
43,926,310,1
44,930,315,1
45,934,321,1
46,935,322,1
47,937,324,1
48,939,325,1
49,941,327,1
50,943,328,1
51,945,330,1
52,947,332,1
53,956,382,1
54,966,432,1
55,968,421,1
56,970,410,1
57,972,400,1
58,974,389,1
59,976,379,1
60,987,374,1
61,998,369,1
62,1004,356,1
63,1011,343,1
64,1018,330,1
65,1037,326,1
66,1056,323,1
67,1075,325,1
68,1095,327,1
69,1115,330,1
70,1134,337,1
71,1153,344,1
72,1172,351,1
73,1172,351,1
74,1172,351,1
75,1172,351,1
76,1172,351,1
77,1172,351,1
78,1172,351,1
79,1172,351,1
80,1172,351,1
81,1172,351,1
82,1172,351,1
83,1172,351,1
84,1172,351,1
85,1172,351,1
86,1172,351,1
87,1172,351,1
88,1172,351,1
89,1172,351,1
90,1172,351,1
91,1172,351,1
92,1172,351,1
93,1172,351,1
94,1172,351,1
95,1172,351,1
96,1172,351,1
97,1172,351,1
98,1172,351,1
99,1172,351,1
100,1172,351,1
101,1172,351,1
102,1172,351,1
103,1172,351,1
104,1172,351,1
105,1172,351,1
106,1172,351,1
107,1172,351,1
108,1172,351,1
109,1172,351,1
110,1172,351,1
111,1172,351,1
112,1172,351,1
113,1172,351,1
114,1172,351,1
115,1172,351,1
116,1172,351,1
117,1172,351,1
118,1172,351,1
119,1172,351,1
120,1172,351,1
121,1172,351,1
122,1172,351,1
123,1172,351,1
124,1172,351,1
125,1172,351,1
126,1172,351,1
127,1172,351,1
128,1172,351,1
129,1172,351,1
130,1172,351,1
131,1172,351,1
132,1172,351,1
133,1172,351,1
134,1172,351,1
135,1172,351,1
136,1172,351,1
137,1172,351,1
138,1172,351,1
139,1172,351,1
140,1172,351,1
141,1172,351,1
142,1172,351,1
143,1172,351,1
144,1172,351,1
145,1172,351,1
146,1172,351,1
147,1172,351,1
148,1172,351,1
149,1172,351,1
150,1172,351,1
151,1172,351,1
152,1172,351,1
153,1172,351,1
154,1172,351,1
155,1172,351,1
156,1172,351,1
157,1172,351,1
158,1172,351,1
159,1172,351,1
160,1172,351,1
161,1172,351,1
162,1172,351,1
163,1172,351,1
164,1172,351,1
165,1172,351,1
166,1172,351,1
167,1172,351,1
168,1172,351,1
169,1172,351,1
170,1172,351,1
171,1172,351,1
172,1172,351,1
173,1172,351,1
174,1172,351,1
175,1172,351,1
176,1172,351,1
177,1172,351,1
178,1172,351,1
179,1172,351,1
180,1172,351,1
181,1172,351,1
182,1172,351,1
183,1172,351,1
184,1172,351,1
185,1172,351,1
186,1172,351,1
187,1172,351,1
188,1172,351,1
189,1172,351,1
190,1172,351,1
191,1172,351,1
192,1172,351,1
193,1172,351,1
194,1172,351,1
195,1172,351,1
196,1172,351,1
197,1172,351,1
198,1172,351,1
199,1172,351,1
200,1172,351,1
